2014Q3,"Alliance Financial Services, Inc.",1019515,0,0,0,0,328,0,0,152,0,0,5,0,0,0,0,0,0,0,74,0,74,1,114,0,3,99,0,0,1,0,0,0,0,0,0,0,"30,185","8,243","38,428","13,938","39,832","14,225","152,403","80,973",0,"7,541",0,"304,693",0,"34,308",0,"8,303","4,943",705.00,0,"2,675.00",436.00,"4,353","23,758.00",0,"78,743","435,818",0,"558,199",39,"79,108","78,034","52,366","304,693","80,973","78,743","78,034",0,0,"43,278","1,822","16,463","15,562",0,0,0,NA,NA,NA,"79,108",0,0,"44,201","1,773","16,340","15,885",0,0,0,NA,NA,NA,"11,120",0,0,0,"59,287",0,0,0,NA
2014Q3,Ally Financial Inc.,102864,"7,000","3,000","10,000","3,000",0,0,0,"5,000",0,0,"183,000",0,0,0,0,0,0,0,"1,000",0,"1,000",0,0,0,0,"1,000",0,0,"50,000",0,0,0,0,0,0,0,"5,403,000","436,000","5,839,000","1,760,000","167,000",0,"2,871,000","35,146,000",0,"53,644,000","94,000","10,637,000",0,0,0,0,"560,000","1,306,000.00",0,"242,000.00","21,000.00","1,389,000","2,274,000.00",0,"18,821,000","99,521,000",0,"149,195,000","45,000","18,936,000","18,821,000","7,599,000","10,637,000","35,146,000","18,821,000","18,821,000","2,132,000","7,000","954,000","461,000","3,997,000","3,717,000",0,0,0,NA,NA,NA,"18,936,000","2,138,000","7,000","975,000","467,000","3,979,000","3,752,000",0,0,0,NA,NA,NA,"1,113,000","1,788,000","1,362,000",0,"15,190,000","1,000","67,000",0,"12,427,000"
2014Q3,"Alpine Bancorporation, Inc.",1019712,43,14,57,111,0,0,0,96,0,0,11,0,0,0,0,0,0,41,12,2,14,15,0,0,40,71,0,0,7,0,0,0,0,0,0,11,"86,460","9,666","96,126","35,447","39,134","10,200","204,503","110,376",415,"60,746",0,"421,911",0,"14,863",0,"10,340","7,989","5,155.00",0,"5,901.00","1,073.00","9,743","45,935.00",0,"445,563","618,236",0,"1,184,399",-7,"440,310","445,563","131,573","421,911","110,376","445,563","445,563","68,303",0,"131,577",0,"89,754","1,970",0,0,"33,492",NA,NA,NA,"440,310","68,593",0,"130,202",0,"89,581","1,911",0,0,"33,612",NA,NA,NA,"10,748",0,0,0,"93,586",0,0,"2,678","87,832"
2014Q3,Alpine Banks of Colorado,1017443,42,0,42,6,0,0,232,76,0,14,141,0,0,0,0,0,0,228,159,285,444,21,47,0,397,82,0,0,24,0,0,0,0,0,0,123,"406,599","33,601","440,200","179,936","206,141","21,922","515,535","76,463","7,437","24,177","1,484","1,414,226",0,82,0,"22,725","22,157","5,336.00",18,"10,982.00","2,890.00","19,898","189,563.00",0,"548,731","1,539,157",717,"2,486,369",0,"170,954","168,765","620,136","1,414,226","76,463","548,731","168,765",0,0,"112,559",0,"30,266",0,0,0,0,NA,NA,NA,"170,954",0,0,"114,525",0,"30,387",0,0,0,0,NA,NA,NA,"31,914","26,562","12,625",-63,"187,430",0,0,"1,853","158,468"
2014Q3,"Altrust Financial Services, Inc.",1020188,0,0,0,0,0,0,0,5,0,0,32,0,0,0,0,0,0,15,1,0,1,40,0,0,0,4,0,2,5,0,8,0,0,12,0,-11,"79,697","1,225","80,922","13,461","42,607","3,732","140,595","91,411","2,042","14,816",0,"298,805",0,"2,064",0,"25,363","5,793","3,234.00",0,"4,063.00","1,226.00","7,664","10,408.00","1,237","98,001","432,459",0,"601,167",1,"83,709","80,779","94,383","298,805","91,411","98,001","80,779",0,"3,275","1,884","4,897","46,913","8,016",0,0,0,NA,NA,NA,"83,709",0,"3,278","2,000","5,014","47,843","8,206",0,0,0,NA,NA,NA,"6,408",393,0,0,"39,717",0,0,468,NA
2014Q3,Amalgamated Investments Company,1016569,0,0,0,30,0,0,0,9,0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,"18,612",202,"18,814","23,228","8,057","58,772","174,813","38,183","52,707","52,854",0,"284,338",0,0,0,354,"5,648","5,458.00",0,"4,806.00",191.00,"9,175","152,683.00",0,"181,374","375,729",0,"749,379",0,"121,384","120,807","42,042","284,338","38,183","181,374","120,807","23,467",0,"96,351",0,957,0,0,0,0,NA,NA,NA,"121,384","23,479",0,"97,000",0,873,0,0,0,0,NA,NA,NA,"9,717","10,010","4,156",0,"44,506",0,0,0,"45,096"
2014Q3,"Amarillo National Bancorp, Inc.",1018855,31,25,56,0,0,0,-1,76,0,39,"2,381",0,28,0,0,0,0,0,4,0,4,0,0,0,0,108,0,0,256,0,0,0,0,9,0,0,"195,335","25,417","220,752","15,217","57,372",0,"327,399","940,806","6,751","597,886",0,"748,008",0,"590,082",0,"124,711","31,261","12,156.00",0,"11,903.00","2,223.00","20,267","203,257.00","7,817","299,789","3,001,493",0,"3,674,553",0,"292,622","292,560","235,969","748,008","940,806","299,789","292,560","37,407",0,"234,583","1,842","3,032",0,0,0,0,NA,NA,NA,"292,622","37,357",0,"234,886","1,798","3,080",0,0,0,0,NA,NA,NA,"36,492",0,0,0,"433,831",0,0,"18,359","435,819"
2014Q3,"Ambank Company, Inc.",1021049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,16,5,7,12,0,0,0,15,5,0,1,2,0,0,0,0,1,0,0,"31,117","5,193","36,310","9,656","17,437","2,416","102,975","136,312","1,690","13,595",0,"403,287",0,"296,355",0,"8,016","7,519","2,330.00",0,"2,961.00",758.00,"5,379","53,998.00","3,855","14,526","857,565",0,"966,343",0,"14,247","14,526","45,966","403,287","136,312","14,526","14,526",0,0,"3,350",0,225,0,0,0,0,NA,NA,NA,"14,247",0,0,"3,352",0,207,0,0,0,0,NA,NA,NA,"12,646",120,0,0,"88,003",68,0,"2,455","87,010"
2014Q3,Amboy Bancorporation,1974097,23,0,23,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,13,14,9,17,0,0,0,0,0,0,0,0,0,0,"381,810","19,605","401,415","66,159","353,964","143,188","455,365","35,201",68,619,0,"1,420,091",0,0,0,466,"15,030","1,925.00",0,"5,150.00",998.00,"12,632","49,049.00",0,"469,586","1,456,377",0,"2,160,607",0,"76,073","75,902","467,574","1,420,091","35,201","469,586","75,902",0,0,0,841,"2,225",0,0,0,0,NA,NA,NA,"76,073",0,0,0,788,"2,204",0,0,0,0,NA,NA,NA,"60,254",0,0,0,"146,919",0,0,0,"204,823"
2014Q3,Ameriana Bancorp,101668,8,0,8,1,0,0,5,0,0,0,5,0,0,0,0,0,0,23,3,0,3,0,1,0,0,3,0,0,5,11,0,0,0,0,0,7,"132,375","1,665","134,040","13,870","14,834","18,110","111,265","29,044",272,"1,811",0,"293,378",0,0,0,869,"3,530","1,421.00",0,"2,395.00",558.00,"4,263","27,573.00",0,"56,930","325,102",0,"474,393",0,"49,706","49,762","147,910","293,378","29,044","56,930","49,762",0,0,0,"32,975","12,852","2,094",0,0,0,NA,NA,NA,"49,706",0,0,0,"33,072","12,688","2,131",0,0,0,NA,NA,NA,"4,014","4,280","3,906",0,"39,903",0,0,60,"35,185"
